customer_id,age,region,tenure_months,gender,email_opt_in,loyalty_points,loyalty_tier_encoded,total_orders,total_spent,avg_order_value,median_order_value,max_order_value,discount_rate_mean,pct_orders_discounted,recency_days,days_since_first_order,orders_last_3m,orders_last_1m,distinct_products,category_diversity,category_share_electronics,category_share_apparel,category_share_grocery,category_share_home,returns_count,returns_rate,complaint_count,satisfaction_score,email_open_rate,email_click_rate,website_sessions_3m,app_sessions_3m,avg_delivery_days,on_time_rate,future_3m_spend,churn_90d
970,48,East,14,M,1,110,0,0,0.0,37.26,33.46,44.39,0.454,0.505,81,432,2,0,5,1,0.274,0.248,0.343,0.135,1,1.0,0,6.25,0.508,0.336,1,0,3.67,0.733,0.0,0
971,33,West,42,M,1,0,0,0,0.0,7.31,5.0,28.73,0.6,0.666,210,1271,0,0,10,1,0.14,0.441,0.394,0.025,3,1.0,1,4.74,0.317,0.0,0,0,3.59,0.724,0.0,1
972,30,West,41,F,1,0,0,0,0.0,45.29,66.66,76.49,0.308,0.389,132,1237,3,1,4,1,0.006,0.225,0.688,0.081,1,1.0,0,7.37,,0.2,0,0,2.92,0.856,0.0,1
973,60,South,25,M,1,523,1,6,476.07,78.63,73.66,117.63,0.279,0.291,0,764,5,2,9,3,0.541,0.365,0.084,0.011,3,0.5,1,,0.786,0.464,5,0,3.08,0.742,80.26,0
974,26,West,18,F,1,147,1,1,54.3,53.23,37.34,102.21,0.382,0.497,72,534,3,2,4,2,0.125,0.179,0.385,0.31,1,1.0,0,6.53,0.791,0.286,2,3,3.11,0.758,0.0,0
975,35,North,40,F,1,49,0,0,0.0,73.84,74.14,131.46,0.474,0.456,48,1213,4,4,4,2,0.355,0.288,0.251,0.106,0,0.0,0,9.28,0.599,0.234,5,1,3.3,0.918,66.24,0
976,43,South,16,M,1,10,0,0,0.0,6.24,6.44,19.66,0.6,0.691,177,470,0,0,3,2,0.281,0.163,0.21,0.346,1,1.0,0,,0.294,0.08,2,2,3.79,0.784,0.0,1
977,28,South,27,F,0,33,0,0,0.0,53.61,51.09,95.81,0.423,0.417,108,802,2,2,1,1,0.288,0.233,0.345,0.134,0,0.0,1,7.87,,,0,5,2.38,0.889,47.82,0
978,47,West,40,M,1,0,0,0,0.0,23.69,18.72,44.03,0.527,0.507,83,1207,4,2,6,2,0.189,0.143,0.179,0.489,2,1.0,1,,0.596,0.127,0,0,3.46,0.608,0.0,0
979,36,North,14,M,1,199,0,0,0.0,31.48,29.29,44.88,0.369,0.378,56,419,3,0,3,1,0.321,0.371,0.253,0.055,1,1.0,0,7.85,0.672,0.337,3,0,3.18,0.901,0.0,1
980,47,South,34,M,1,0,0,1,47.45,45.81,35.26,92.3,0.234,0.314,147,1019,0,0,8,1,0.392,0.204,0.199,0.205,3,1.0,3,,0.184,0.0,0,1,4.78,0.561,0.0,1
981,47,West,30,F,1,0,0,0,0.0,51.08,65.31,93.11,0.395,0.393,178,907,0,0,8,1,0.315,0.395,0.22,0.07,4,1.0,3,3.34,0.331,0.0,0,2,5.27,0.561,0.0,0
982,37,South,24,M,0,356,1,3,205.02,74.54,76.5,124.41,0.362,0.455,66,706,3,1,6,2,0.257,0.334,0.24,0.17,3,,1,6.0,,,4,0,3.99,0.717,31.56,0
983,60,North,12,F,1,0,0,0,0.0,29.97,30.91,81.57,0.287,0.339,127,362,0,0,7,1,0.064,0.327,0.404,0.205,3,1.0,2,,0.363,0.152,2,0,3.99,0.606,0.0,1
984,32,East,15,O,1,0,1,1,25.41,26.77,35.18,57.12,0.273,0.265,139,459,0,0,0,3,0.348,0.295,0.273,0.084,2,1.0,1,6.15,0.393,0.047,0,0,4.23,0.88,0.0,1
985,56,East,27,M,0,62,0,3,129.08,41.69,63.36,103.57,0.274,0.312,169,824,0,0,6,2,0.208,0.329,0.086,0.376,0,0.0,0,8.51,,,5,0,2.63,0.936,53.56,0
986,54,South,7,F,1,0,0,0,0.0,14.55,11.33,36.18,0.48,0.569,156,208,0,0,4,1,0.119,0.464,0.319,0.098,3,1.0,3,3.55,0.241,0.0,1,0,5.9,0.58,0.0,1
987,61,West,26,M,1,0,1,2,195.81,94.28,96.74,113.17,0.333,0.448,133,767,0,0,9,1,0.063,0.507,0.303,0.126,3,,1,4.41,0.26,0.0,0,0,2.71,0.744,24.48,1
988,42,North,30,F,1,371,2,2,128.53,65.74,72.15,113.7,0.6,0.687,6,915,4,2,4,1,0.493,0.234,0.199,0.073,4,1.0,3,,0.704,0.432,4,6,4.39,0.543,39.2,0
989,30,West,36,F,1,342,0,5,379.22,76.77,82.3,121.07,0.289,0.387,163,1075,1,1,10,1,0.352,0.218,0.182,0.248,1,0.2,3,6.83,0.445,0.108,0,2,4.09,0.735,24.13,1
990,64,East,7,F,1,0,0,0,0.0,,99.88,116.45,0.387,0.437,111,217,1,0,7,1,0.204,0.196,0.355,0.244,0,0.0,1,8.39,0.358,0.106,0,0,2.27,0.868,19.7,0
991,35,South,40,F,1,112,2,2,108.6,56.0,63.34,79.34,0.44,0.469,127,1194,2,1,0,1,0.188,0.429,0.297,0.087,0,0.0,3,6.66,0.62,0.207,1,2,2.29,0.731,75.5,1
992,30,West,44,M,1,78,0,0,0.0,14.77,11.48,62.37,0.511,0.551,114,1330,1,1,5,1,0.209,0.192,0.297,0.302,1,1.0,2,4.43,0.527,0.246,0,3,4.33,0.722,0.0,0
993,37,North,29,F,0,0,1,0,0.0,73.94,83.5,118.95,0.53,0.652,101,868,2,1,10,2,0.509,0.034,0.267,0.19,1,1.0,0,,,,4,1,1.8,0.908,21.54,0
994,28,North,12,M,1,507,0,4,282.04,67.99,67.09,87.22,0.314,0.322,114,346,3,1,9,1,0.32,0.264,0.277,0.138,2,,4,3.63,0.659,0.29,5,2,5.62,0.507,0.0,1
995,46,West,20,O,1,64,0,2,57.72,29.43,31.67,56.57,0.437,0.49,166,602,0,0,5,1,0.367,0.112,0.307,0.214,0,0.0,1,9.56,0.349,0.03,4,1,1.36,1.0,20.79,0
996,32,North,23,M,1,66,0,2,92.56,46.29,51.21,68.08,0.453,0.522,129,703,1,1,2,1,0.334,0.086,0.503,0.077,2,1.0,3,5.14,0.371,0.109,0,0,5.06,0.581,0.0,1
997,36,North,27,F,1,659,1,7,633.4,93.32,87.64,95.72,0.18,0.218,67,817,5,3,5,1,0.352,0.474,0.127,0.047,2,0.286,3,7.37,0.677,0.213,1,4,5.12,0.771,111.71,0
998,51,South,24,M,1,45,0,5,289.96,57.4,60.87,124.69,0.22,0.336,120,728,2,1,10,1,0.261,0.358,0.301,0.08,1,0.2,2,6.22,0.452,0.0,3,3,2.26,0.726,28.46,0
999,47,North,27,M,1,120,2,1,57.73,62.22,67.19,106.99,0.463,0.531,128,821,0,0,0,2,0.204,0.23,0.367,0.198,1,1.0,1,8.33,0.605,0.022,3,4,1.0,0.903,0.0,1
1000,40,West,23,M,1,143,1,3,244.99,75.78,60.63,138.94,0.265,0.325,110,687,1,1,8,2,0.42,0.384,0.04,0.156,3,1.0,3,3.98,0.439,0.075,1,0,5.23,0.625,0.0,0
1001,42,West,27,F,1,701,2,10,819.09,81.03,92.25,114.92,0.582,0.643,47,815,5,2,10,1,0.443,0.335,0.039,0.183,1,0.1,3,7.4,0.516,0.116,4,4,2.52,0.716,109.88,0
1002,40,South,18,M,0,0,0,3,206.86,70.57,64.02,91.13,0.323,0.43,200,554,0,0,5,1,0.456,0.23,0.304,0.01,1,0.333,0,7.42,,,3,0,3.91,0.824,40.02,0
1003,34,South,20,M,1,217,1,1,59.94,59.09,61.28,81.6,0.297,0.328,98,598,1,0,5,1,0.358,0.284,0.172,0.187,2,1.0,4,4.08,0.646,0.22,4,0,4.04,0.602,0.0,1
1004,39,South,17,M,1,3,0,1,77.79,83.45,95.68,105.94,0.501,0.518,142,513,0,0,2,1,0.266,0.154,0.427,0.153,4,1.0,3,,0.357,0.091,1,0,4.22,0.624,0.0,1
1005,45,North,47,M,0,383,2,6,405.3,73.77,79.0,103.4,0.236,0.309,85,1410,3,1,10,1,0.245,0.409,0.179,0.167,2,0.333,0,8.66,,,1,1,3.1,0.773,91.41,0
1006,38,South,42,F,1,321,1,4,334.62,82.86,91.18,91.9,0.394,0.474,58,1247,2,1,6,1,0.562,0.022,0.324,0.092,2,0.5,2,5.15,0.545,0.205,0,1,4.33,0.655,41.71,0
1007,45,North,31,F,1,420,1,6,507.13,92.46,101.35,124.73,0.398,0.476,58,920,4,2,9,2,0.437,0.165,0.22,0.178,3,0.5,2,,,0.325,3,3,3.47,0.687,85.9,0
1008,29,South,40,F,1,313,2,6,478.17,77.21,73.27,105.72,0.197,0.13,61,1197,4,2,4,1,0.306,0.443,0.068,0.183,1,0.167,0,8.39,0.748,0.274,2,2,3.24,0.665,120.15,0
1009,32,East,34,F,1,636,1,10,999.92,94.33,86.03,151.79,0.325,0.374,90,1007,4,1,7,2,0.007,0.507,0.083,0.402,2,,0,9.46,0.613,0.18,4,2,2.64,0.872,180.04,0
1010,31,West,26,F,1,0,1,0,0.0,59.67,62.99,110.42,0.25,0.303,85,785,3,2,5,3,0.276,0.14,0.323,0.261,2,1.0,0,,0.572,0.405,2,3,3.76,0.723,3.08,0
1011,33,East,6,F,0,186,1,4,527.37,125.11,130.81,157.46,0.459,0.544,74,178,1,0,13,1,0.275,0.254,0.107,0.364,2,0.5,0,8.7,,,4,1,1.29,0.898,84.51,0
1012,55,East,21,M,1,135,0,2,137.2,62.66,71.49,112.18,0.278,0.274,90,626,3,3,7,2,0.217,0.332,0.316,0.135,1,0.5,3,4.29,0.493,0.171,2,4,3.31,0.682,4.85,0
1013,48,South,20,M,0,440,2,8,483.09,66.77,73.01,84.86,0.175,0.255,30,599,7,3,14,1,0.093,0.394,0.234,0.278,3,0.375,2,,,,1,0,2.69,0.572,,0
1014,27,West,10,F,1,80,0,0,0.0,82.71,78.78,97.46,0.363,0.383,124,312,1,0,11,1,0.279,0.285,0.128,0.308,0,0.0,1,9.51,0.572,0.137,3,0,2.21,1.0,6.15,1
1015,45,West,6,F,1,250,2,7,558.56,85.53,92.57,123.65,0.288,0.334,103,185,2,1,7,1,0.168,0.229,0.479,0.124,2,0.286,2,6.26,0.583,0.106,5,1,4.69,0.731,91.83,0
1016,35,West,30,F,1,0,2,0,0.0,67.28,50.47,109.32,0.319,0.439,69,897,2,1,8,1,0.369,0.217,0.155,0.26,4,1.0,2,3.48,0.407,0.156,2,2,3.65,0.614,0.0,0
1017,31,North,28,M,1,0,0,0,0.0,38.64,48.82,75.84,0.417,0.477,101,837,1,1,5,1,0.19,0.307,0.47,0.034,2,1.0,3,3.14,,0.139,2,0,4.27,0.577,0.0,0
1018,22,East,10,M,1,0,0,0,0.0,37.07,29.95,104.19,0.44,0.5,193,300,0,0,2,1,0.267,0.426,0.22,0.087,1,1.0,0,,0.369,0.077,3,1,3.6,0.869,0.0,1
1019,51,East,15,F,1,243,0,0,0.0,43.27,35.98,97.01,0.255,0.334,72,451,2,1,8,1,0.417,0.249,0.184,0.15,1,1.0,1,5.99,0.537,0.307,3,2,3.35,0.73,0.0,0
1020,23,South,38,M,1,1,1,0,0.0,38.72,58.63,99.42,0.433,0.518,108,1138,1,1,4,1,0.144,0.274,0.442,0.14,1,1.0,2,5.81,0.415,0.068,2,0,3.77,0.718,0.0,0
1021,39,West,13,F,0,102,1,1,64.11,69.94,70.39,98.87,0.257,0.171,23,404,5,1,4,1,0.325,0.342,0.23,0.103,3,1.0,2,6.31,,,2,0,4.11,0.708,46.2,0
1022,28,South,26,M,1,0,0,0,0.0,48.11,46.07,94.76,0.316,0.41,201,781,0,0,8,1,0.259,0.244,0.197,0.3,0,0.0,0,9.05,0.126,0.0,0,0,1.78,0.884,5.04,1
1023,49,North,22,M,1,0,1,3,89.3,32.03,22.81,51.16,0.488,0.601,156,652,0,0,4,1,0.104,0.469,0.242,0.185,2,0.667,1,,0.338,0.036,0,1,2.3,0.723,0.0,0
1024,35,South,30,M,0,191,2,6,627.18,110.59,114.13,135.96,0.227,0.284,65,902,3,0,6,2,0.383,0.053,0.306,0.257,0,0.0,0,10.0,,,0,3,1.0,1.0,165.42,0
1025,38,South,14,F,1,445,2,8,1160.36,135.03,141.38,181.66,0.441,0.4,63,412,5,1,11,2,0.438,0.233,0.118,0.212,2,0.25,3,6.66,0.632,0.272,0,3,2.64,0.845,150.71,0
1026,38,West,25,F,1,126,2,3,215.86,75.03,72.22,97.23,0.6,0.615,67,752,2,1,8,1,0.332,0.186,0.391,0.091,1,0.333,1,,0.545,0.115,4,5,2.68,0.859,49.73,0
1027,43,South,26,F,1,86,1,0,0.0,41.47,24.29,65.64,0.404,0.395,134,781,1,0,6,1,0.284,0.289,0.342,0.085,0,0.0,0,8.04,0.49,0.114,2,0,3.65,0.771,53.77,0
1028,40,South,27,M,1,0,0,0,0.0,62.8,75.81,111.42,0.325,0.377,171,803,0,0,6,1,0.347,0.267,0.125,0.26,1,1.0,1,5.69,0.357,0.007,3,0,2.07,0.835,0.0,1
1029,39,East,25,F,0,0,0,0,0.0,80.85,78.54,105.57,0.388,0.445,130,748,1,0,9,1,0.254,0.215,0.3,0.23,3,1.0,2,,,,0,3,2.83,0.745,13.63,0
1030,33,North,28,M,0,82,0,1,56.6,60.72,58.23,119.96,0.481,0.588,159,844,0,0,3,1,0.3,0.057,0.414,0.229,3,1.0,1,5.73,,,2,3,2.73,0.844,0.0,1
1031,21,East,50,M,1,78,0,1,53.11,50.85,50.56,86.56,0.503,0.623,188,1509,0,0,8,1,0.358,0.254,0.316,0.072,0,0.0,2,7.6,0.302,0.0,2,1,3.13,0.843,36.8,1
1032,26,East,55,M,0,116,0,1,36.14,33.04,26.59,69.58,0.445,0.622,195,1642,0,0,7,1,0.302,0.214,0.293,0.191,3,1.0,0,6.27,,,4,1,5.31,0.609,0.0,1
1033,48,South,16,M,1,20,1,0,0.0,83.24,93.43,128.27,0.548,0.563,50,490,4,1,14,1,0.456,0.052,0.177,0.315,2,1.0,0,,0.654,0.081,0,1,3.15,0.834,27.68,0
1034,36,West,1,M,1,0,1,0,0.0,77.07,82.88,114.37,0.57,0.62,131,30,0,0,9,1,0.187,0.355,0.274,0.184,1,,0,6.95,0.278,0.0,0,3,2.64,0.895,0.0,1
1035,32,East,31,F,1,208,1,0,0.0,63.14,67.04,108.74,0.354,0.403,61,934,5,3,3,1,0.035,0.499,0.194,0.272,0,0.0,1,9.9,0.717,0.345,4,4,2.15,1.0,50.19,1
1036,23,East,26,M,1,341,2,7,590.99,88.02,106.51,109.67,0.221,0.237,41,787,5,3,9,1,0.108,0.36,0.265,0.267,0,0.0,1,8.53,0.64,0.349,4,3,2.25,0.887,146.91,0
1037,19,West,37,M,0,0,0,0,0.0,41.94,36.36,56.37,0.455,0.519,224,1102,0,0,5,1,0.387,0.295,0.171,0.148,1,1.0,1,8.2,,,0,4,2.32,0.986,0.0,1
1038,31,East,27,M,1,0,0,1,18.92,18.01,28.23,29.76,0.558,0.645,204,823,0,0,12,2,0.243,0.372,0.281,0.104,1,1.0,2,4.32,0.244,0.0,3,2,4.13,0.59,0.0,1
1039,50,South,25,M,1,0,0,2,175.3,92.1,74.31,122.99,0.244,0.41,160,741,0,0,8,1,0.423,0.215,0.282,0.08,0,0.0,1,8.88,0.039,0.0,3,0,3.33,0.786,13.4,1
1040,33,North,38,M,1,0,2,1,73.1,67.43,72.58,117.24,0.341,0.422,118,1126,1,1,4,1,0.33,0.274,0.324,0.072,2,1.0,1,8.09,0.327,0.082,1,0,1.0,0.933,11.96,1
1041,44,East,39,M,1,541,2,8,963.67,109.55,127.62,192.72,0.301,0.297,47,1177,6,0,8,3,0.126,0.348,0.192,0.334,1,0.125,2,6.09,0.675,0.178,0,2,4.05,0.714,177.05,0
1042,32,West,7,O,1,0,0,0,0.0,29.59,21.19,57.73,0.6,0.583,154,221,0,0,3,1,0.538,0.181,0.174,0.108,2,1.0,2,,0.364,0.039,3,1,4.26,0.775,0.0,1
1043,47,South,14,F,1,43,2,1,73.91,76.73,89.88,103.64,0.354,0.363,99,426,2,1,4,1,0.231,0.273,0.181,0.315,2,1.0,0,,0.55,0.253,3,1,1.58,0.951,22.7,0
1044,35,South,23,M,1,0,0,0,0.0,42.78,31.72,89.52,0.236,0.32,199,682,0,0,10,3,0.466,0.29,0.238,0.005,2,1.0,4,,0.265,0.0,1,2,4.79,0.637,0.0,1
1045,25,South,25,F,1,150,0,0,0.0,40.03,56.65,84.46,0.295,0.349,109,755,2,1,4,1,0.404,0.17,0.286,0.14,2,1.0,2,4.78,0.609,0.257,2,0,3.24,0.591,0.0,0
1046,36,East,21,F,1,85,1,1,59.76,66.28,62.6,111.4,0.399,0.384,118,639,0,0,9,1,0.006,0.353,0.55,0.091,0,0.0,0,9.99,0.383,0.004,2,0,3.17,0.968,65.64,0
1047,62,North,29,F,1,33,1,1,75.5,78.51,72.59,113.4,0.509,0.515,119,876,1,0,6,1,0.426,0.308,0.094,0.172,0,0.0,1,9.73,0.371,0.092,2,0,1.8,0.916,41.73,1
1048,61,West,36,F,1,0,0,0,0.0,24.3,20.01,24.68,0.48,0.584,120,1079,0,0,2,3,0.158,0.302,0.102,0.439,2,1.0,0,,0.663,0.169,2,0,2.52,0.692,,1
1049,45,West,45,F,1,36,1,4,414.31,101.07,101.32,145.01,0.338,0.453,152,1340,0,0,4,1,0.275,0.254,0.341,0.13,1,0.25,2,6.71,0.244,0.0,3,2,3.39,0.797,43.79,1
1050,38,East,31,F,1,39,1,3,207.83,67.87,66.65,106.91,0.395,0.335,170,928,0,0,5,1,0.365,0.306,0.175,0.155,2,0.667,2,4.8,0.31,0.053,1,2,3.99,0.678,,1
1051,43,North,14,F,1,42,1,2,127.86,62.79,62.37,71.01,0.288,0.352,63,413,3,1,9,1,0.343,0.176,0.174,0.307,1,0.5,1,7.11,0.595,0.316,0,0,3.33,0.904,32.35,0
1052,43,East,22,M,0,290,2,3,170.29,61.02,63.55,112.65,0.386,0.479,95,667,1,1,7,1,0.434,0.127,0.167,0.271,1,0.333,0,,,,4,5,3.21,1.0,44.58,0
1053,39,North,23,F,1,207,2,2,200.51,92.07,93.99,146.66,0.403,0.436,92,693,0,0,0,1,0.384,0.256,0.241,0.119,2,1.0,3,,0.562,0.246,1,1,3.58,0.749,0.0,0
1054,45,South,30,F,0,53,1,1,79.13,78.59,78.64,129.75,0.6,0.702,117,905,2,0,3,3,0.163,0.245,0.365,0.228,0,0.0,0,10.0,,,4,3,1.46,1.0,68.6,1
1055,42,North,29,F,1,206,0,2,131.26,64.9,61.37,96.77,0.348,0.486,151,860,0,0,6,1,0.008,0.235,0.348,0.408,4,1.0,1,5.8,0.523,0.137,4,0,4.2,0.61,0.0,1
1056,36,East,49,F,1,0,0,1,35.83,35.52,38.94,79.94,0.316,0.417,208,1458,0,0,6,3,0.191,0.336,0.193,0.28,2,1.0,2,5.54,0.201,0.0,0,0,2.16,0.714,0.0,1
1057,25,South,18,M,0,116,1,3,235.38,78.08,81.08,100.12,0.468,0.54,161,554,0,0,1,2,0.142,0.13,0.336,0.393,2,0.667,1,,,,0,2,3.96,0.701,0.0,0
1058,34,West,29,M,0,102,1,3,190.62,58.42,61.05,70.71,0.355,0.361,109,859,3,0,3,1,0.174,0.023,0.565,0.238,1,0.333,2,4.63,,,3,2,5.07,0.668,58.9,1
1059,49,West,52,M,1,504,2,3,267.34,87.33,87.32,125.35,0.282,0.419,28,1568,6,1,6,1,0.288,0.432,0.2,0.079,2,0.667,0,6.42,0.83,0.379,6,7,2.11,0.854,97.57,0
1060,39,West,17,F,1,82,2,1,57.92,58.1,52.55,68.05,0.396,0.4,105,509,1,0,2,1,0.436,0.202,0.239,0.123,1,1.0,2,,0.601,0.267,2,4,3.95,0.796,0.0,0
1061,43,North,26,F,0,180,2,3,302.16,95.62,96.22,132.95,0.364,0.441,61,772,4,1,2,1,0.377,0.185,0.327,0.111,2,0.667,2,7.06,,,2,2,3.1,0.824,75.93,1
1062,36,North,13,F,1,180,0,1,11.26,11.85,9.63,50.81,0.6,0.619,144,380,0,0,4,2,0.188,0.14,0.347,0.325,0,0.0,0,10.0,0.514,0.228,1,0,2.21,1.0,16.6,0
1063,27,South,25,M,1,0,1,2,121.35,64.66,48.13,88.31,0.353,0.352,121,750,1,0,8,1,0.214,0.264,0.209,0.313,0,0.0,1,7.72,0.475,0.083,1,3,2.33,0.917,57.42,0
1064,37,North,15,M,1,0,0,0,0.0,9.41,17.41,88.23,0.402,0.519,150,439,0,0,5,2,0.218,0.257,0.354,0.17,2,1.0,1,8.14,0.523,0.071,1,3,3.06,0.964,0.0,1
1065,27,North,37,M,1,0,1,0,0.0,53.76,55.83,81.78,0.346,0.466,83,1097,1,1,2,1,0.23,0.239,0.267,0.264,2,1.0,1,6.17,,0.149,0,2,2.37,0.773,6.2,0
1066,26,East,26,F,0,80,0,2,55.62,29.01,28.85,73.25,0.403,0.399,153,773,0,0,6,1,0.33,0.378,0.224,0.068,2,1.0,0,8.58,,,0,0,2.58,0.892,0.0,1
1067,54,East,13,F,1,215,0,2,88.64,45.04,49.24,81.22,0.6,0.674,136,383,0,0,4,1,0.185,0.28,0.309,0.226,0,0.0,1,10.0,0.224,0.0,4,0,1.74,1.0,0.0,1
1068,34,North,34,F,1,4,2,2,196.03,96.5,90.46,155.29,0.387,0.429,115,1023,2,2,7,2,0.404,0.11,0.286,0.2,2,1.0,0,7.78,0.404,0.126,2,5,4.41,0.759,21.16,0
1069,31,South,26,M,1,137,1,0,0.0,59.39,70.27,92.7,0.366,0.358,100,785,3,2,2,1,0.403,0.031,0.298,0.268,2,1.0,3,3.88,0.596,0.313,5,3,3.94,0.614,0.0,0
1070,59,South,35,F,1,0,1,1,55.4,56.91,66.57,71.57,0.337,0.343,182,1063,0,0,3,1,0.137,0.29,0.293,0.28,1,1.0,1,3.83,0.0,0.0,4,0,3.52,0.645,0.0,1
1071,49,North,10,F,0,310,1,4,314.08,81.06,71.76,129.36,0.39,0.421,72,307,5,2,7,1,0.217,0.313,0.193,0.277,1,0.25,1,7.68,,,7,6,1.0,0.931,78.99,0
1072,35,West,28,M,1,0,1,0,0.0,61.18,56.12,71.13,0.208,0.27,153,853,1,1,7,1,0.141,0.277,0.385,0.197,0,0.0,1,7.57,0.517,0.131,0,0,2.31,0.904,64.33,0
1073,45,North,33,M,1,0,2,1,55.55,51.61,57.01,74.65,0.276,0.427,130,998,0,0,7,2,0.255,0.233,0.325,0.187,0,0.0,0,7.85,,0.0,1,0,4.15,0.97,27.49,0
1074,37,North,19,F,1,198,2,0,0.0,20.4,22.37,50.19,0.422,0.524,104,568,4,1,6,1,0.265,0.296,0.322,0.117,2,1.0,1,7.36,0.719,0.305,1,2,4.93,0.815,0.0,1
1075,31,North,9,F,1,221,1,1,94.02,96.76,96.62,127.31,0.327,0.39,95,267,4,2,11,1,0.179,0.265,0.379,0.177,3,1.0,1,6.62,0.499,0.255,2,0,4.16,0.743,6.14,0
1076,45,North,24,M,1,161,1,3,149.3,55.05,58.57,88.12,0.292,0.336,62,705,5,1,7,2,0.335,0.295,0.303,0.068,1,0.333,2,,0.554,0.307,1,0,4.46,0.689,52.26,0
1077,36,West,39,M,1,35,0,1,54.49,49.92,34.95,81.4,0.331,0.3,116,1162,1,1,6,1,0.352,0.282,0.233,0.133,3,1.0,0,7.02,0.648,0.2,4,3,1.64,0.798,0.0,1
1078,40,North,38,M,1,523,2,2,87.17,,36.26,86.14,0.6,0.619,62,1125,3,1,5,2,0.291,0.278,0.313,0.117,0,0.0,0,9.45,0.748,0.447,1,2,2.42,1.0,58.1,1
1079,52,East,19,F,1,545,2,6,463.75,85.44,80.62,111.84,0.289,0.396,49,566,5,1,5,1,0.153,0.371,0.291,0.185,1,0.167,1,9.13,0.51,0.172,5,1,3.68,0.928,148.29,0
1080,50,South,9,M,0,35,1,3,257.74,90.41,96.52,139.11,0.481,0.578,108,258,1,0,6,1,0.313,0.352,0.264,0.071,1,0.333,2,7.21,,,0,3,2.23,0.866,17.54,1
1081,33,East,19,M,1,28,1,0,0.0,59.63,42.4,82.8,0.241,0.227,131,565,2,1,4,2,0.289,0.314,0.185,0.211,0,0.0,1,9.27,0.487,0.175,2,1,3.94,0.979,51.23,0
1082,45,West,18,M,1,186,1,1,40.45,41.49,42.93,56.1,0.319,0.355,38,551,2,0,4,1,0.087,0.527,0.092,0.294,0,0.0,2,7.47,0.654,0.319,1,2,3.37,0.822,57.61,1
1083,26,West,29,F,1,6,0,3,197.74,63.51,60.5,80.88,0.571,0.554,163,881,0,0,5,3,0.454,0.151,0.232,0.164,1,0.333,1,6.68,0.429,0.0,1,0,4.63,0.708,15.51,1
1084,45,North,23,F,1,373,2,6,482.97,78.7,83.91,110.47,0.41,0.495,94,682,3,0,12,1,0.38,0.193,0.193,0.233,2,0.333,3,5.21,0.429,0.028,2,0,4.23,0.581,92.05,0
1085,41,West,15,F,0,0,0,0,0.0,78.51,84.98,137.93,0.324,0.394,145,449,2,1,1,2,0.306,0.095,0.359,0.24,0,0.0,1,7.0,,,3,0,2.66,0.694,23.35,0
1086,44,South,37,M,1,0,0,0,0.0,43.38,56.97,82.83,0.376,0.354,232,1118,0,0,3,1,0.421,0.167,0.25,0.162,2,1.0,1,,0.143,0.0,0,0,3.68,0.74,,1
1087,36,South,26,F,1,363,2,5,451.62,99.47,90.08,130.25,0.38,0.46,65,771,2,1,5,1,0.386,0.078,0.353,0.183,1,0.2,0,9.08,0.571,0.133,0,0,2.0,0.862,105.42,0
1088,65,East,29,F,1,0,0,0,0.0,57.04,50.47,96.23,0.6,0.694,161,877,0,0,8,2,0.291,0.166,0.327,0.216,2,1.0,2,5.15,0.32,0.0,1,2,3.91,0.766,0.0,1
1089,29,West,3,F,1,103,1,3,188.62,60.25,60.64,76.05,0.359,0.447,109,99,0,0,10,2,0.273,0.276,0.213,0.238,2,0.667,1,6.56,0.533,0.185,2,5,4.78,0.696,0.0,0
1090,51,North,1,M,0,438,0,5,317.45,59.18,70.46,65.06,0.29,0.328,101,30,2,0,7,1,0.073,0.504,0.154,0.268,0,0.0,0,9.76,,,2,0,1.83,0.98,79.21,0
1091,27,East,7,M,1,0,0,0,0.0,57.5,61.0,77.75,0.321,0.401,139,202,0,0,2,1,0.05,0.327,0.463,0.16,3,1.0,1,5.17,0.309,0.03,0,0,4.31,0.669,0.0,1
1092,46,North,18,M,1,124,1,1,63.17,68.89,69.73,87.91,0.32,0.418,85,547,5,2,4,1,0.686,0.07,0.216,0.029,2,,0,7.1,0.774,0.287,6,1,2.95,0.689,9.29,1
1093,46,South,31,M,1,70,2,0,0.0,77.84,87.63,165.82,0.265,0.208,136,927,0,0,9,1,0.32,0.083,0.155,0.443,2,1.0,2,4.98,0.21,0.0,0,0,3.23,0.783,0.0,1
1094,40,West,1,O,1,220,1,3,201.86,66.05,62.87,144.49,0.421,0.503,54,30,2,2,0,1,0.098,0.242,0.025,0.635,3,1.0,2,4.02,0.451,0.298,2,3,5.23,0.559,0.73,1
1095,34,East,43,F,1,120,2,2,183.63,99.96,109.32,178.19,0.34,0.296,116,1293,1,0,6,1,0.38,0.07,0.289,0.261,1,0.5,1,,0.641,0.109,1,1,2.27,0.837,56.99,0
1096,41,North,26,M,1,0,0,0,0.0,38.76,52.64,54.44,0.515,0.54,187,781,0,0,4,2,0.522,0.017,0.175,0.286,2,1.0,0,7.55,0.171,0.0,0,0,3.59,0.855,0.0,1
1097,43,South,40,F,0,277,2,2,182.61,86.98,85.76,162.08,0.578,0.616,60,1210,6,4,3,1,0.201,0.068,0.468,0.263,1,0.5,0,9.51,,,5,6,2.56,0.875,42.82,0
